Subkey;Values
\Adobe\InstallerAnalytics;
\Adobe\Licensing\UserSpecificLicensing;Enabled: 48
\Adobe\Licensing;
\Adobe\Registration;"NAME: 0; COMPAN: 0"
\Adobe\Repair\Adobe Acrobat\DC\IOD;"(default): ""C:\Program Files\Adobe\Acrobat DC\Esl\Aiod.dll""; Library: C:\Program Files\Adobe\Acrobat DC\Esl\Aiod.dll"
\Adobe\Repair\Adobe Acrobat\DC;Current: {AC76BA86-1033-FF00-7760-BC15014EA700}
\Adobe\Repair\Adobe Acrobat;
\Adobe\Repair;
\Adobe;
\AGEIA Technologies\PhysX_A64_Engines;2.8.3: 44
\AGEIA Technologies;"HwSelection: GPU; PhysX Version: 9210713; PhysXCore Path: C:\Program Files (x86)\NVIDIA Corporation\PhysX\Engine; PhysX BuildCL: 1"
\Atheros\VistaAddOn\SupportedDevice;"USB\VID_0CF3&PID_E300: 0; USB\VID_0CF3&PID_3004: 0; USB\VID_0CF3&PID_E360: 0; USB\VID_0CF3&PID_E370: 0; USB\VID_0CF3&PID_E500: 0; USB\VID_0CF3&PID_E400: 0; USB\VID_0CF3&PID_E007: 0; USB\VID_0CF3&PID_E301: 0; USB\VID_0CF3&PID_E009: 0; USB\VID_0CF3&PID_E010: 0; USB\VID_0489&PID_E0A2: 0; USB\VID_0CF3&PID_535B: 0"
\Atheros\VistaAddOn;"RadioStatus: 0; ControllerIndex: 0; DeviceRecoverPolicy: 4"
\Atheros\VMDevice;
\Atheros;
\BlueStacksInstaller;VersionMachineId_5.13.220.2100: a009173b-3c53-481d-8042-58fc248e1014
\Classes\*\OpenWithList\Excel.exe;
\Classes\*\OpenWithList\IExplore.exe;
\Classes\*\OpenWithList\MSPaint.exe;(default): 0
\Classes\*\OpenWithList\notepad.exe;(default): 0
\Classes\*\OpenWithList\Winword.exe;
\Classes\*\OpenWithList\WordPad.exe;(default): 0
\Classes\*\OpenWithList;
\Classes\*\shell\pintohomefile\command;DelegateExecute: {b455f46e-e4af-4035-b0a4-cf18d2f6f28e}
\Classes\*\shell\pintohomefile;"CommandStateHandler: {b455f46e-e4af-4035-b0a4-cf18d2f6f28e}; CommandStateSync: 0; MUIVerb: @shell32.dll,-51389; NeverDefault: 0; SkipCloudDownload: 0; MUIVerb_39696859: @shell32.dll,-51608"
\Classes\*\shell\removeproperties\DropTarget;CLSID: {09a28848-0e97-4cef-b950-cea037161155}
\Classes\*\shell\removeproperties;ProgrammaticAccessOnly: Apartment
\Classes\*\shell\UpdateEncryptionSettingsWork\Shell\Decrypt\command;DelegateExecute: {5B6D1451-B1E1-4372-90F5-88E541B4DAB9}
\Classes\*\shell\UpdateEncryptionSettingsWork\Shell\Decrypt;"AttributeMask: 8192; AttributeValue: 8192; CommandStateHandler: {5B6D1451-B1E1-4372-90F5-88E541B4DAB9}; Icon: edputil.dll,-1002; MUIVerb: @efscore.dll,-103; ShowAsDisabledIfHidden: 0; UpdateType: 0"
\Classes\*\shell\UpdateEncryptionSettingsWork\Shell;
\Classes\*\shell\UpdateEncryptionSettingsWork;"AppliesTo: System.StorageProviderId:<>""network"" AND System.StorageProviderProtectionMode:<>1 AND System.StorageProviderProtectionMode:<>2; AttributeMask: 8192; AttributeValue: 8192; ExtendedSubCommandsKey: *\shell\UpdateEncryptionSettingsWork; ImpliedSelectionModel: 0; MUIVerb: @efscore.dll,-101; MultiSelectModel: Player; Position: Bottom"
\Classes\*\shell;
\Classes\*\shellex\ContextMenuHandlers\ FileSyncEx;(default): {CB3D0F55-BC2C-4C1A-85ED-23ED75B5106B}
\Classes\*\shellex\ContextMenuHandlers\7-Zip;(default): {23170F69-40C1-278A-1000-000100020000}
\Classes\*\shellex\ContextMenuHandlers\EPP;(default): {09A47860-11B0-4DA5-AFA5-26D86198A780}
\Classes\*\shellex\ContextMenuHandlers\Open With;(default): {09799AFB-AD67-11d1-ABCD-00C04FC30936}
\Classes\*\shellex\ContextMenuHandlers\Open With EncryptionMenu;(default): {A470F8CF-A1E8-4f65-8335-227475AA5C46}
\Classes\*\shellex\ContextMenuHandlers\Sharing;(default): {f81e9010-6ea4-11ce-a7ff-00aa003ca9f6}
\Classes\*\shellex\ContextMenuHandlers\WorkFolders;(default): {E61BF828-5E63-4287-BEF1-60B1A4FDE0E3}
\Classes\*\shellex\ContextMenuHandlers\{90AA3A4E-1CBA-4233-B8BB-535773D48449};(default): Taskband Pin
\Classes\*\shellex\ContextMenuHandlers\{a2a9545d-a0c2-42b4-9708-a0b2badd77c8};(default): Start Menu Pin
\Classes\*\shellex\ContextMenuHandlers;
\Classes\*\shellex\PropertySheetHandlers\CryptoSignMenu;(default): {7444C719-39BF-11D1-8CD9-00C04FC29D45}
\Classes\*\shellex\PropertySheetHandlers\{1f2e5c40-9550-11ce-99d2-00aa006e086c};
\Classes\*\shellex\PropertySheetHandlers\{3EA48300-8CF6-101B-84FB-666CCB9BCD32};(default): OLE DocFile Property Page
\Classes\*\shellex\PropertySheetHandlers\{883373C3-BF89-11D1-BE35-080036B11A03};(default): Summary Properties Page
\Classes\*\shellex\PropertySheetHandlers;
\Classes\*\shellex;
