Subkey;Values
\Classes\.midi\OpenWithProgIds;WMP11.AssocFile.MIDI: 0
\Classes\.midi\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.midi;"PerceivedType: audio; (default): WMP11.AssocFile.MIDI; Content Type: audio/mid"
\Classes\.mk\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.mk;
\Classes\.mk3d\OpenWithProgIds;WMP11.AssocFile.MK3D: 0
\Classes\.mk3d;(default): WMP11.AssocFile.MK3D
\Classes\.mka\OpenWithProgIds;WMP11.AssocFile.MKA: 0
\Classes\.mka;"(default): WMP11.AssocFile.MKA; Content Type: audio/x-matroska; PerceivedType: audio"
\Classes\.mkv\OpenWithProgIds;WMP11.AssocFile.MKV: 0
\Classes\.mkv\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mkv\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mkv\ShellEx;
\Classes\.mkv;"(default): WMP11.AssocFile.MKV; Content Type: video/x-matroska; PerceivedType: video"
\Classes\.mlc;(default): LpkSetup.1
\Classes\.mlp;(default): VLC.mlp
\Classes\.mmf\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.mmf;
\Classes\.MOD\OpenWithProgIds;WMP11.AssocFile.MPEG: 0
\Classes\.MOD\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.MOD\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.MOD\ShellEx;
\Classes\.MOD;"(default): WMP11.AssocFile.MPEG; Content Type: video/mpeg; PerceivedType: video"
\Classes\.mos\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.mos\ShellEx;
\Classes\.mos;"Content Type: image/MOS; PerceivedType: image"
\Classes\.mov\OpenWithProgIds;WMP11.AssocFile.MOV: 0
\Classes\.mov\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.mov\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mov\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mov\ShellEx;
\Classes\.mov;"(default): WMP11.AssocFile.MOV; Content Type: video/quicktime; PerceivedType: video"
\Classes\.movie\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.movie;
\Classes\.mp1;(default): VLC.mp1
\Classes\.mp2\OpenWithProgIds;WMP11.AssocFile.MP3: 0
\Classes\.mp2\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.mp2\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mp2\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mp2\ShellEx;
\Classes\.mp2;"PerceivedType: audio; Content Type: audio/mpeg; (default): VLC.mp2; VLC.backup: WMP11.AssocFile.MP3"
\Classes\.mp2v\OpenWithProgIds;WMP11.AssocFile.MPEG: 0
\Classes\.mp2v\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.mp2v\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mp2v\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mp2v\ShellEx;
\Classes\.mp2v;"PerceivedType: video; (default): WMP11.AssocFile.MPEG; Content Type: video/mpeg"
\Classes\.mp3\OpenWithProgIds;WMP11.AssocFile.MP3: 0
\Classes\.mp3\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.mp3\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mp3\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mp3\ShellEx;
\Classes\.mp3;"PerceivedType: audio; (default): WMP11.AssocFile.MP3; Content Type: audio/mpeg"
\Classes\.mp4\OpenWithProgIds;WMP11.AssocFile.MP4: 0
\Classes\.mp4\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mp4\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mp4\ShellEx;
\Classes\.mp4;"(default): WMP11.AssocFile.MP4; Content Type: video/mp4; PerceivedType: video"
\Classes\.mp4v\OpenWithProgIds;WMP11.AssocFile.MP4: 0
\Classes\.mp4v\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mp4v\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mp4v\ShellEx;
\Classes\.mp4v;"(default): WMP11.AssocFile.MP4; Content Type: video/mp4; PerceivedType: video"
\Classes\.mpa\OpenWithProgIds;WMP11.AssocFile.MPEG: 0
\Classes\.mpa\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.mpa\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mpa\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mpa\ShellEx;
\Classes\.mpa;"PerceivedType: video; (default): WMP11.AssocFile.MPEG; Content Type: audio/mpeg"
\Classes\.mpc;(default): VLC.mpc
\Classes\.mpe\OpenWithProgIds;WMP11.AssocFile.MPEG: 0
\Classes\.mpe\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.mpe\ShellEx\{3D1975AF-0FC3-463d-8965-4DC6B5A840F4};(default): 0
\Classes\.mpe\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mpe\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mpe\ShellEx;
\Classes\.mpe;"PerceivedType: video; (default): WMP11.AssocFile.MPEG; Content Type: video/mpeg"
\Classes\.mpeg\OpenWithProgIds;WMP11.AssocFile.MPEG: 0
\Classes\.mpeg\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.mpeg\ShellEx\{3D1975AF-0FC3-463d-8965-4DC6B5A840F4};(default): 0
\Classes\.mpeg\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mpeg\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mpeg\ShellEx;
\Classes\.mpeg;"PerceivedType: video; (default): WMP11.AssocFile.MPEG; Content Type: video/mpeg"
\Classes\.mpeg1;(default): VLC.mpeg1
\Classes\.mpeg2;(default): VLC.mpeg2
\Classes\.mpeg4;(default): VLC.mpeg4
\Classes\.mpg\OpenWithProgIds;WMP11.AssocFile.MPEG: 0
\Classes\.mpg\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.mpg\ShellEx\{3D1975AF-0FC3-463d-8965-4DC6B5A840F4};(default): 0
\Classes\.mpg\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mpg\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mpg\ShellEx;
\Classes\.mpg;"PerceivedType: video; (default): WMP11.AssocFile.MPEG; Content Type: video/mpeg"
\Classes\.mpga;(default): VLC.mpga
\Classes\.mplog;(default): wireshark-capture-file
\Classes\.mpv2\OpenWithProgIds;WMP11.AssocFile.MPEG: 0
\Classes\.mpv2\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.mpv2\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mpv2\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.mpv2\ShellEx;
\Classes\.mpv2;"PerceivedType: video; (default): WMP11.AssocFile.MPEG; Content Type: video/mpeg"
\Classes\.mrw\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.mrw\ShellEx;
\Classes\.mrw;"Content Type: image/MRW; PerceivedType: image"
\Classes\.ms-windows-store-license;(default): WindowsStore.License
\Classes\.msc;(default): MSCFile
\Classes\.msepub;Content Type: application/epub+zip
\Classes\.msg\OpenWithProgIDs;Outlook.File.msg.15: 0
\Classes\.msg\PersistentHandler;(default): {FB10BD80-A331-4e9e-9EB7-00279903AD99}
\Classes\.msg;(default): Outlook.File.msg.15
\Classes\.msi;(default): Msi.Package
\Classes\.msp;(default): Msi.Patch
\Classes\.msrcincident;(default): RemoteAssistance.1
\Classes\.msstyles;(default): msstylesfile
\Classes\.msu;(default): Microsoft.System.Update.1
\Classes\.MTS\OpenWithProgIds;WMP11.AssocFile.M2TS: 0
\Classes\.MTS\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.MTS\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.MTS\ShellEx;
\Classes\.MTS;"(default): WMP11.AssocFile.M2TS; Content Type: video/vnd.dlna.mpeg-tts; PerceivedType: video"
\Classes\.mtv;(default): VLC.mtv
\Classes\.mtxcfg;(default): MKVToolNix GUI Settings
\Classes\.mv\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.mv;
\Classes\.mwb;(default): MWBfile
\Classes\.mxf;(default): VLC.mxf
\Classes\.mydocs\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.mydocs;(default): CLSID\{ECF03A32-103D-11d2-854D-006008059367}
\Classes\.ncb\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.ncb;
\Classes\.nef\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.nef\ShellEx;
\Classes\.nef;"Content Type: image/NEF; PerceivedType: image"
\Classes\.nfo;(default): MSInfoFile
\Classes\.nk2;(default): Outlook.File.nk2.15
\Classes\.note\shell\open\command;"(default): ""C:\Program Files\Microsoft OneDrive\24.101.0519.0010\OneDriveFileLauncher.exe"" ""%1"""
\Classes\.note\shell\open;
\Classes\.note\shell;
\Classes\.note;
\Classes\.nrw\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.nrw\ShellEx;
\Classes\.nrw;"Content Type: image/NRW; PerceivedType: image"
\Classes\.nst;(default): Outlook.File.nst.15
\Classes\.nsv;(default): VLC.nsv
\Classes\.ntar;(default): wireshark-capture-file
\Classes\.nuv;(default): VLC.nuv
\Classes\.nvr;PerceivedType: text
\Classes\.nvram\VMware.VMBios\ShellNew;
\Classes\.nvram\VMware.VMBios;
\Classes\.nvram;(default): VMware.VMBios
\Classes\.obj\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.obj;
\Classes\.ocx\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.ocx;"(default): ocxfile; PerceivedType: system"
\Classes\.oc_\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.oc_;
\Classes\.odc\PersistentHandler;(default): {eec97550-47a9-11cf-b952-00aa0051fe20}
\Classes\.odc;"(default): odcfile; Content Type: text/x-ms-odc"
\Classes\.odccubefile;(default): odccubefile
\Classes\.odcdatabasefile;(default): odcdatabasefile
\Classes\.odcnewfile;(default): odcnewfile
\Classes\.odctablecollectionfile;(default): odctablecollectionfile
\Classes\.odctablefile;(default): odctablefile
\Classes\.odh\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.odh;
\Classes\.odl\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.odl;
\Classes\.odp\OpenWithProgIDs;PowerPoint.OpenDocumentPresentation.12: 0
\Classes\.odp\PersistentHandler;(default): {E2F83EED-62DE-4A9F-9CD0-A1D40DCD13B6}
\Classes\.odp\ShellEx\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {65235197-874B-4A07-BDC5-E65EA825B718}
\Classes\.odp\ShellEx;
\Classes\.odp;"(default): PowerPoint.OpenDocumentPresentation.12; Content Type: application/vnd.oasis.opendocument.presentation; PerceivedType: document"
\Classes\.ods\OpenWithProgIDs;Excel.OpenDocumentSpreadsheet.12: 0
\Classes\.ods\PersistentHandler;(default): {3DDEB7A4-8ABF-4D82-B9EE-E1F4552E95BE}
\Classes\.ods\ShellEx\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {00020827-0000-0000-C000-000000000046}
\Classes\.ods\ShellEx;
\Classes\.ods;"(default): Excel.OpenDocumentSpreadsheet.12; Content Type: application/vnd.oasis.opendocument.spreadsheet; PerceivedType: document"
\Classes\.odt\OpenWithList\WordPad.exe;(default): 0
\Classes\.odt\OpenWithList;
\Classes\.odt\OpenWithProgIDs;Word.OpenDocumentText.12: 0
\Classes\.odt\PersistentHandler;(default): {34CEAC8D-CBC0-4f77-B7B1-8A60CB6DA0F7}
\Classes\.odt\ShellEx\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {84F66100-FF7C-4fb4-B0C0-02CD7FB668FE}
\Classes\.odt\ShellEx;
\Classes\.odt;"PerceivedType: document; (default): Word.OpenDocumentText.12; Content Type: application/vnd.oasis.opendocument.text"
\Classes\.ofs;(default): Outlook.File.ofs.15
\Classes\.oft\OpenWithProgIDs;Outlook.File.oft.15: 0
\Classes\.oft;(default): Outlook.File.oft.15
\Classes\.oga\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.oga\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.oga\ShellEx;
\Classes\.oga;"Content Type: audio/ogg; PerceivedType: audio"
\Classes\.ogg\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.ogg\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.ogg\ShellEx;
\Classes\.ogg;"Content Type: audio/ogg; PerceivedType: audio"
\Classes\.ogm\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.ogm\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.ogm\ShellEx;
\Classes\.ogm;"Content Type: video/ogg; PerceivedType: video"
\Classes\.ogv\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.ogv\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.ogv\ShellEx;
\Classes\.ogv;"Content Type: video/ogg; PerceivedType: video"
\Classes\.ogx\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.ogx\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.ogx\ShellEx;
\Classes\.ogx;"Content Type: video/ogg; PerceivedType: video"
\Classes\.ols;"(default): OfficeListShortcut; Content Type: application/vnd.ms-publisher"
\Classes\.oma;(default): VLC.oma
\Classes\.opc;(default): OPCFile
\Classes\.opk;(default): OPK_File
\Classes\.opus\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.opus\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.opus\ShellEx;
\Classes\.opus;"Content Type: audio/ogg; PerceivedType: audio"
\Classes\.oqy;(default): oqyfile
\Classes\.orf\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.orf\ShellEx;
\Classes\.orf;"Content Type: image/ORF; PerceivedType: image"
\Classes\.ori\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.ori\ShellEx;
\Classes\.ori;"PerceivedType: image; Content Type: image/CR3"
\Classes\.osdx;"(default): opensearchdescription; Content Type: application/opensearchdescription+xml"
\Classes\.osk;(default): osu!
\Classes\.osr;(default): osu!
\Classes\.ost;(default): Outlook.File.ost.15
\Classes\.osz;(default): osu!
\Classes\.osz2;(default): osu!
\Classes\.otf;(default): otffile
\Classes\.otm;(default): Outlook.File.otm.15
\Classes\.out;(default): wireshark-capture-file
\Classes\.ova\OpenWithList\vmplayer.exe;
\Classes\.ova\OpenWithList\vmware.exe;
\Classes\.ova\OpenWithList;
\Classes\.ova\VMware.OVAPackage\ShellNew;
\Classes\.ova\VMware.OVAPackage;
\Classes\.ova;(default): VMware.OVAPackage
\Classes\.ovf\OpenWithList\vmplayer.exe;
\Classes\.ovf\OpenWithList\vmware.exe;
\Classes\.ovf\OpenWithList;
\Classes\.ovf\VMware.OVFPackage\ShellNew;
\Classes\.ovf\VMware.OVFPackage;
\Classes\.ovf;(default): VMware.OVFPackage
\Classes\.ovpn;"(default): OVPNProfileAssociation; Content Type: application/x-openvpn-profile"
\Classes\.p10;"(default): P10File; Content Type: application/pkcs10"
\Classes\.p12;"(default): PFXFile; Content Type: application/x-pkcs12"
\Classes\.p7b;"(default): SPCFile; Content Type: application/x-pkcs7-certificates"
\Classes\.p7c;"(default): certificate_wab_auto_file; Content Type: application/pkcs7-mime"
\Classes\.p7m\PersistentHandler;(default): {5645C8C4-E277-11CF-8FDA-00AA00A14F93}
\Classes\.p7m;"(default): P7MFile; Content Type: application/pkcs7-mime"
\Classes\.p7r;"(default): P7RFile; Content Type: application/x-pkcs7-certreqresp"
\Classes\.p7s;"(default): P7SFile; Content Type: application/pkcs7-signature"
\Classes\.pab;(default): Outlook.File.pab.15
\Classes\.partial\OpenWithProgIds;IE.AssocFile.PARTIAL: 0
\Classes\.partial;(default): IE.AssocFile.PARTIAL
\Classes\.pbk;(default): pbkfile
\Classes\.pcap;(default): wireshark-capture-file
\Classes\.pcapng;(default): wireshark-capture-file
\Classes\.pcb;(default): PCBFile
\Classes\.pch\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.pch;
\Classes\.pdb\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.pdb;
\Classes\.pdf\OpenWithList\Acrobat.exe;(default): 0
\Classes\.pdf\OpenWithList;(default): 0
\Classes\.pdf\OpenWithProgids;"MSEdgePDF: 0; ChromeHTML: 0; (default): 0; Acrobat.Document.DC: 0"
\Classes\.pdf\PersistentHandler;(default): {1AA9BF05-9A97-48c1-BA28-D9DCE795E93C}
\Classes\.pdf\ShellEx\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {DC6EFB56-9CFA-464D-8880-44885D7DC193}
\Classes\.pdf\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): 0
\Classes\.pdf\ShellEx;
\Classes\.pdf;"Content Type: application/pdf; (default): Acrobat.Document.DC"
\Classes\.pdfxml\OpenWithList\Acrobat.exe;(default): 0
\Classes\.pdfxml\OpenWithList\AcroRd32.exe;(default): 0
\Classes\.pdfxml\OpenWithList;
\Classes\.pdfxml\OpenWithProgids;"(default): 0; Acrobat.pdfxml: 0"
\Classes\.pdfxml;"Content Type: application/vnd.adobe.pdfxml; (default): Acrobat.pdfxml"
\Classes\.pdn\OpenWithProgids;paint.net.1: 0
\Classes\.pdn\ShellEx\{E357FCCD-A995-4576-B01F-234630154E96};(default): {FBF113F1-D7C8-477C-A23A-E600E7937E11}
\Classes\.pdn\ShellEx;
\Classes\.pdn;"(default): paint.net.1; PerceivedType: image"
\Classes\.pds\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.pds;
\Classes\.pdx\AcrobatPDXFileType\ShellNew;
\Classes\.pdx\AcrobatPDXFileType;
\Classes\.pdx\OpenWithProgids;"(default): 0; Acrobat.AcrobatPDXFileType: 0"
\Classes\.pdx;"Content Type: application/vnd.adobe.pdx; (default): AcrobatPDXFileType"
\Classes\.pef\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.pef\ShellEx;
\Classes\.pef;"Content Type: image/PEF; PerceivedType: image"
\Classes\.perfmoncfg;(default): Diagnostic.Perfmon.Config
\Classes\.pfm;(default): pfmfile
\Classes\.pfx;"(default): PFXFile; Content Type: application/x-pkcs12"
\Classes\.php3;PerceivedType: text
\Classes\.pic\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.pic;
\Classes\.pif;(default): piffile
\Classes\.pka;(default): PacketTracer8.Activity
\Classes\.pklg;(default): wireshark-capture-file
\Classes\.pko;"(default): PKOFile; Content Type: application/vnd.ms-pki.pko"
\Classes\.pks;(default): PacketTracer8.ActivitySequence
\Classes\.pksz;(default): PacketTracer8.ActivitySequencePackage
\Classes\.pkt;(default): PacketTracer8
\Classes\.pkz;(default): PacketTracer8.PKZ
\Classes\.pl\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.pl;PerceivedType: text
\Classes\.plg;PerceivedType: text
\Classes\.pls;(default): VLC.pls
\Classes\.pma\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.pma;
\Classes\.pmc\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.pmc;
\Classes\.pml\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.pml;
\Classes\.pmr\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.pmr;
\Classes\.pnf;(default): pnffile
\Classes\.png\OpenWithProgids;"pngfile: 0; paint.net.1: 0"
\Classes\.png\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.png;"(default): pngfile; Content Type: image/png; PerceivedType: image"
\Classes\.pot\PersistentHandler;(default): {98de59a0-d175-11cd-a7bd-00006b827d94}
\Classes\.pot\ShellEx\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {65235197-874B-4A07-BDC5-E65EA825B718}
\Classes\.pot\ShellEx;
\Classes\.pot;"(default): PowerPoint.Template.8; Content Type: application/vnd.ms-powerpoint"
\Classes\.pothtml;(default): powerpointhtmltemplate
\Classes\.potm\ShellEx\PropertyHandler;(default): {01BE4CFB-129A-452B-A209-F9D40B3B84A5}
\Classes\.potm\ShellEx\{BB2E617C-0920-11d1-9A0B-00C04FC2D6C1};(default): {35C5242B-7455-4F9C-962B-369EA43ED6F3}
\Classes\.potm\ShellEx;
\Classes\.potm;"(default): PowerPoint.TemplateMacroEnabled.12; Content Type: application/vnd.ms-powerpoint.template.macroEnabled.12; PerceivedType: document"
\Classes\.potx\ShellEx\PropertyHandler;(default): {01BE4CFB-129A-452B-A209-F9D40B3B84A5}
\Classes\.potx\ShellEx\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {65235197-874B-4A07-BDC5-E65EA825B718}
\Classes\.potx\ShellEx\{BB2E617C-0920-11d1-9A0B-00C04FC2D6C1};(default): {35C5242B-7455-4F9C-962B-369EA43ED6F3}
\Classes\.potx\ShellEx;
\Classes\.potx;"(default): PowerPoint.Template.12; Content Type: application/vnd.openxmlformats-officedocument.presentationml.template; PerceivedType: document"
\Classes\.ppa;"(default): PowerPoint.Addin.8; Content Type: application/vnd.ms-powerpoint"
\Classes\.ppam\ShellEx\PropertyHandler;(default): {01BE4CFB-129A-452B-A209-F9D40B3B84A5}
\Classes\.ppam\ShellEx\{BB2E617C-0920-11d1-9A0B-00C04FC2D6C1};(default): {35C5242B-7455-4F9C-962B-369EA43ED6F3}
\Classes\.ppam\ShellEx;
\Classes\.ppam;"(default): PowerPoint.Addin.12; Content Type: application/vnd.ms-powerpoint.addin.macroEnabled.12"
\Classes\.ppk;"(default): PPK_Assoc_ProgId; Content Type: application/x-putty-private-key"
\Classes\.ppkg\OpenWithProgids;(default): Microsoft.ProvTool.Provisioning.1
\Classes\.ppkg;(default): Microsoft.ProvTool.Provisioning.1
\Classes\.pps\PersistentHandler;(default): {98de59a0-d175-11cd-a7bd-00006b827d94}
\Classes\.pps\ShellEx\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {65235197-874B-4A07-BDC5-E65EA825B718}
\Classes\.pps\ShellEx;
\Classes\.pps;"(default): PowerPoint.SlideShow.8; Content Type: application/vnd.ms-powerpoint"
\Classes\.ppsm\ShellEx\PropertyHandler;(default): {01BE4CFB-129A-452B-A209-F9D40B3B84A5}
\Classes\.ppsm\ShellEx\{BB2E617C-0920-11d1-9A0B-00C04FC2D6C1};(default): {35C5242B-7455-4F9C-962B-369EA43ED6F3}
\Classes\.ppsm\ShellEx;
\Classes\.ppsm;"(default): PowerPoint.SlideShowMacroEnabled.12; Content Type: application/vnd.ms-powerpoint.slideshow.macroEnabled.12; PerceivedType: document"
\Classes\.ppsx\ShellEx\PropertyHandler;(default): {01BE4CFB-129A-452B-A209-F9D40B3B84A5}
\Classes\.ppsx\ShellEx\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {65235197-874B-4A07-BDC5-E65EA825B718}
\Classes\.ppsx\ShellEx\{BB2E617C-0920-11d1-9A0B-00C04FC2D6C1};(default): {35C5242B-7455-4F9C-962B-369EA43ED6F3}
